2010 Rank|Name|Government|Population (2010 census)[2]|Population (2020 census)[3]|Change|Main County|Other Counties|
163|Highland Village|city|15,056|15,899|+5.60%|Denton||
800|Hill Country Village|city|985|942|−4.37%|Bexar||
881|Hillcrest|village|730|705|−3.42%|Brazoria||
234|Hillsboro|city|8,456|8,221|−2.78%|Hill||
873|Hilshire Village|city|746|816|+9.38%|Harris||
265|Hitchcock|city|6,961|7,301|+4.88%|Galveston||
756|Holiday Lakes|town|1,107|991|−10.48%|Brazoria||
750|Holland|town|1,121|1,075|−4.10%|Bell||
610|Holliday|city|1,758|1,524|−13.31%|Archer||
448|Hollywood Park|town|3,062|3,130|+2.22%|Bexar||
229|Hondo|city|8,803|8,289|−5.84%|Medina||
621|Honey Grove|city|1,668|1,715|+2.82%|Fannin||
478|Hooks|city|2,769|2,518|−9.06%|Bowie||
146|Horizon City|city|16,735|22,489|+34.38%|El Paso||
420|Horseshoe Bay|city|3,418|4,257|+24.55%|Burnet|Llano|
1|Houston|city|2,099,451|2,304,580|+9.77%|Harris|Fort Bend,Montgomery|
1026|Howardwick|city|402|370|−7.96%|Donley||
499|Howe|town|2,600|3,571|+37.35%|Grayson||
674|Hubbard|city|1,423|1,394|−2.04%|Hill||
347|Hudson|city|4,731|4,849|+2.49%|Angelina||
623|Hudson Oaks|city|1,662|2,174|+30.81%|Parker||
609|Hughes Springs|city|1,760|1,575|−10.51%|Cass|Morris|
161|Humble|city|15,133|16,795|+10.98%|Harris||
368|Hunters Creek Village|city|4,367|4,385|+0.41%|Harris||
557|Huntington|city|2,118|2,025|−4.39%|Angelina||
73|Huntsville|city|38,548|45,941|+19.18%|Walker||
77|Hurst|city|37,337|40,413|+8.24%|Tarrant||
325|Hutchins|city|5,338|607|−88.63%|Dallas||
166|Hutto|city|14,698|27,577|+87.62%|Williamson||
1036|Huxley|city|385|361|−6.23%|Shelby||
538|Idalou|city|2,250|2,193|−2.53%|Lubbock||
1208|Impact|town|35|22|−37.14%|Taylor||
911|Indian Lake|town|640|839|+31.09%|Cameron||
1096|Industry|city|304|268|−11.84%|Austin||
223|Ingleside|city|9,387|9,519|+1.41%|San Patricio|Nueces|
918|Ingleside on the Bay|city|615|614|−0.16%|San Patricio||
604|Ingram|city|1,804|1,787|−0.94%|Kerr||
1027|Iola|city|401|311|−22.44%|Grimes||
736|Iowa Colony|city|1,170|8,154|+596.92%|Brazoria||
284|Iowa Park|city|6,355|6,535|+2.83%|Wichita||
719|Iraan|city|1,229|1,055|−14.16%|Pecos||
1063|Iredell|city|339|305|−10.03%|Bosque||
13|Irving|city|216,290|256,684|+18.68%|Dallas||
596|Italy|town|1,863|1,926|+3.38%|Ellis||
627|Itasca|city|1,644|1,562|−4.99%|Hill||
823|Ivanhoe|city|887|1,327|+49.61%|Tyler||
211|Jacinto City|city|10,553|9,613|−8.91%|Harris||
359|Jacksboro|city|4,511|4,184|−7.25%|Jack||
169|Jacksonville|city|14,544|13,997|−3.76%|Cherokee||
802|Jamaica Beach|city|983|1,078|+9.66%|Galveston||
801|Jarrell|city|984|1,753|+78.15%|Williamson||
251|Jasper|city|7,590|6,884|−9.30%|Jasper||
950|Jayton|city|534|511|−4.31%|Kent||
561|Jefferson|city|2,106|1,875|−10.97%|Marion||
250|Jersey Village|city|7,620|7,921|+3.95%|Harris||
737|Jewett|city|1,167|793|−32.05%|Leon||
843|Joaquin|city|824|734|−10.92%|Shelby||
625|Johnson City|city|1,656|1,627|−1.75%|Blanco||
1167|Jolly|city|172|172|0.00%|Clay||
570|Jones Creek|village|2,020|1,975|−2.23%|Brazoria||
600|Jonestown|city|1,834|2,365|+28.95%|Travis||
852|Josephine|city|812|2,119|+160.96%|Collin|Hunt|
299|Joshua|city|5,910|7,891|+33.52%|Johnson||
391|Jourdanton|city|3,871|4,094|+5.76%|Atascosa||
503|Junction|city|2,574|2,451|−4.78%|Kimble||
433|Justin|city|3,246|4,409|+35.83%|Denton||
452|Karnes City|city|3,042|3,111|+2.27%|Karnes||
171|Katy|city|14,102|21,894|+55.25%|Harris|Fort Bend,Waller|
274|Kaufman|city|6,703|6,797|+1.40%|Kaufman||
287|Keene|city|6,106|6,387|+4.60%|Johnson||
71|Keller|city|39,627|45,776|+15.52%|Tarrant||
607|Kemah|city|1,773|1,807|+1.92%|Galveston||
741|Kemp|city|1,154|1,129|−2.17%|Kaufman||
759|Kempner|city|1,089|1,146|+5.23%|Lampasas||
1040|Kendleton|city|380|343|−9.74%|Fort Bend||
425|Kenedy|city|3,296|3,473|+5.37%|Karnes||
942|Kenefick|town|563|615|+9.24%|Liberty||
1066|Kennard|city|337|272|−19.29%|Houston||
273|Kennedale|city|6,763|8,517|+25.94%|Tarrant||
640|Kerens|city|1,573|1,505|−4.32%|Navarro||
304|Kermit|city|5,708|6,267|+9.79%|Winkler||
119|Kerrville|city|22,347|24,278|+8.64%|Kerr||
181|Kilgore|city|12,975|13,376|+3.09%|Gregg|Rusk|
21|Killeen|city|127,921|153,095|+19.68%|Bell||
|Kingsbury|city||132||Guadalupe||
104|Kingsville|city|26,213|25,402|−3.09%|Kleberg||
243|Kirby|city|8,000|8,142|+1.77%|Bexar||
552|Kirbyville|city|2,142|2,036|−4.95%|Jasper||
1183|Kirvin|town|129|101|−21.71%|Freestone||
1135|Knollwood|city|226|764|+238.05%|Grayson||
747|Knox City|town|1,130|1,065|−5.75%|Knox||
996|Kosse|town|464|458|−1.29%|Limestone||
556|Kountze|city|2,123|1,981|−6.69%|Hardin||
887|Kress|city|715|596|−16.64%|Swisher||
623|Krugerville|city|1,662|1,766|+6.26%|Denton||
375|Krum|city|4,157|5,483|+31.90%|Denton||
1028|Kurten|town|398|395|−0.75%|Brazos||
97|Kyle|city|28,016|45,697|+63.11%|Hays||
751|LaCoste|city|1,119|1,247|+11.44%|Medina||
277|Lacy-Lakeview|city|6,489|6,721|+3.58%|McLennan||
920|Ladonia|town|612|627|+2.45%|Fannin||
255|La Feria|city|7,302|7,230|−0.99%|Cameron||
291|Lago Vista|city|6,041|8,896|+47.26%|Travis||
354|La Grange|city|4,641|4,677|+0.78%|Fayette||
632|La Grulla|city|1,622|1,701|+4.87%|Starr||
443|Laguna Vista|town|3,117|3,180|+2.02%|Cameron||
384|La Joya|city|3,985|4,293|+7.73%|Hidalgo||
1062|Lake Bridgeport|city|340|399|+17.35%|Wise||
964|Lake City|town|509|531|+4.32%|San Patricio||
262|Lake Dallas|city|7,105|8,063|+13.48%|Denton||
99|Lake Jackson|city|26,849|27,220|+1.38%|Brazoria||
805|Lakeport|city|974|996|+2.26%|Gregg||
1084|Lakeside|town|312|303|−2.88%|San Patricio||
705|Lakeside|town|1,307|1,593|+21.88%|Tarrant||
795|Lakeside City|town|997|957|−4.01%|Archer||
859|Lake Tanglewood|village|796|886|+11.31%|Randall||
1192|Lakeview|town|107|95|−11.21%|Hall||
196|Lakeway|city|11,391|15,981|+40.29%|Travis||
947|Lakewood Village|city|545|964|+76.88%|Denton||
356|Lake Worth|city|4,584|4,896|+6.81%|Tarrant||
170|La Marque|city|14,509|17,319|+19.37%|Galveston||
222|Lamesa|city|9,422|9,147|−2.92%|Dawson||
275|Lampasas|city|6,681|7,982|+19.47%|Lampasas||
80|Lancaster|city|36,361|39,228|+7.88%|Dallas||
87|La Porte|city|33,800|34,976|+3.48%|Harris||
10|Laredo|city|236,091|262,491|+11.18%|Webb||
1080|Latexo|city|322|314|−2.48%|Houston||
780|La Vernia|city|1,034|1,428|+38.10%|Wilson||
582|La Villa|city|1,957|2,870|+46.65%|Hidalgo||
543|Lavon|city|2,219|3,724|+67.82%|Collin||
1140|La Ward|city|213|224|+5.16%|Jackson||
1083|Lawn|town|314|321|+2.23%|Taylor||
39|League City|city|83,560|107,536|+28.69%|Galveston|Harris|
1015|Leakey|city|425|438|+3.06%|Real||
102|Leander|city|26,521|62,608|+136.07%|Williamson|Travis|
974|Leary|city|495|502|+1.41%|Bowie||
971|Lefors|town|497|480|−3.42%|Gray||
1164|Leona|city|175|180|+2.86%|Leon||
576|Leonard|city|1,990|2,054|+3.22%|Fannin||
216|Leon Valley|city|10,151|12,306|+21.23%|Bexar||
1066|Leroy|city|337|346|+2.67%|McLennan||
175|Levelland|city|13,542|13,502|−0.30%|Hockley||
34|Lewisville|city|95,290|109,212|+14.61%|Denton||
735|Lexington|town|1,177|1,222|+3.82%|Lee||
236|Liberty|city|8,397|9,314|+10.92%|Liberty||
809|Liberty Hill|city|967|2,931|+203.10%|Williamson||
1090|Lincoln Park|town|308|558|+81.17%|Denton||
344|Lindale|city|4,818|6,464|+34.16%|Smith||
577|Linden|city|1,988|1,915|−3.67%|Cass||
784|Lindsay|city|1,018|1,149|+12.87%|Cooke||
1012|Lipan|city|430|488|+13.49%|Hood||
105|Little Elm|city|25,898|53,126|+105.14%|Denton||
282|Littlefield|city|6,372|5,843|−8.30%|Lamb||
581|Little River-Academy|city|1,961|2,038|+3.93%|Bell||
178|Live Oak|city|13,131|16,499|+25.65%|Bexar||
984|Liverpool|city|482|551|+14.32%|Brazoria||
326|Livingston|town|5,335|5,242|−1.74%|Polk||
434|Llano|city|3,232|3,497|+8.20%|Llano||
185|Lockhart|city|12,698|14,133|+11.30%|Caldwell||
599|Lockney|town|1,842|1,631|−11.45%|Floyd||
888|Log Cabin|city|714|772|+8.12%|Henderson||
832|Lometa|city|856|861|+0.58%|Lampasas||
927|Lone Oak|city|598|692|+15.72%|Hunt||
638|Lone Star|city|1,581|1,482|−6.26%|Morris||
40|Longview|city|80,455|81,631|+1.46%|Gregg|Harrison|
925|Loraine|town|602|564|−6.31%|Mitchell||
620|Lorena|city|1,691|1,755|+3.78%|McLennan||
743|Lorenzo|city|1,147|1,138|−0.78%|Crosby||
314|Los Fresnos|city|5,542|7,837|+41.41%|Cameron||
762|Los Indios|town|1,083|1,060|−2.12%|Cameron||
1211|Los Ybanez|city|19|19|0.00%|Dawson||
869|Lott|city|759|742|−2.24%|Falls||
905|Lovelady|city|649|627|−3.39%|Houston||
617|Lowry Crossing|city|1,711|1,727|+0.94%|Collin||
11|Lubbock|city|229,573|258,862|+12.76%|Lubbock||
330|Lucas|city|5,166|8,553|+65.56%|Collin||
1059|Lueders|city|346|333|−3.76%|Jones|Shackelford|
85|Lufkin|city|35,067|35,021|−0.13%|Angelina||
321|Luling|city|5,411|5,869|+8.46%|Caldwell|Guadalupe|
192|Lumberton|city|11,943|13,073|+9.46%|Hardin||
497|Lyford|city|2,611|2,540|−2.72%|Willacy||
510|Lytle|city|2,492|3,066|+23.03%|Atascosa|Bexar,Medina|
454|Mabank|town|3,035|3,995|+31.63%|Kaufman|Henderson|
20|McAllen|city|129,877|143,268|+10.31%|Hidalgo||
591|McCamey|city|1,887|2,060|+9.17%|Upton||
336|McGregor|city|4,987|5,331|+6.90%|McLennan|Coryell|
19|McKinney|city|131,117|199,177|+51.91%|Collin||
863|McLean|town|778|744|−4.37%|Gray||
689|McLendon-Chisholm|city|1,373|3,455|+151.64%|Rockwall||
366|Madisonville|city|4,396|4,685|+6.57%|Madison||
682|Magnolia|city|1,393|2,093|+50.25%|Montgomery||
532|Malakoff|city|2,324|2,301|−0.99%|Henderson||
1111|Malone|town|269|283|+5.20%|Hill||
333|Manor|city|5,037|13,866|+175.28%|Travis||
54|Mansfield|city|56,368|72,419|+28.48%|Tarrant|Ellis,Johnson|
329|Manvel|city|5,179|12,671|+144.66%|Brazoria||
289|Marble Falls|city|6,077|7,038|+15.81%|Burnet||
578|Marfa|city|1,981|1,625|−17.97%|Presidio||
1180|Marietta|town|134|129|−3.73%|Cass||
766|Marion|city|1,066|1,241|+16.42%|Guadalupe||
297|Marlin|city|5,967|5,581|−6.47%|Falls||
1117|Marquez|city|263|274|+4.18%|Leon||
114|Marshall|city|23,523|22,831|−2.94%|Harrison||
545|Mart|city|2,209|1,963|−11.14%|McLennan|Limestone|
752|Martindale|city|1,116|1,231|+10.30%|Caldwell||
559|Mason|city|2,114|2,305|+9.04%|Mason||
923|Matador|town|607|611|+0.66%|Motley||
339|Mathis|city|4,942|4,715|−4.59%|San Patricio||
774|Maud|city|1,056|1,042|−1.33%|Bowie||
815|Maypearl|city|934|1,032|+10.49%|Ellis||
933|Meadow|town|593|585|−1.35%|Terry||
606|Meadowlakes|city|1,777|1,703|−4.16%|Burnet||
353|Meadows Place|city|4,660|4,591|−1.48%|Fort Bend||
1146|Megargel|town|203|188|−7.39%|Archer||
351|Melissa|city|4,695|12,117|+158.08%|Collin||
1163|Melvin|town|178|168|−5.62%|McCulloch||
534|Memphis|city|2,290|2,012|−12.14%|Hall||
666|Menard|city|1,471|1,404|−4.55%|Menard||
155|Mercedes|city|15,570|16,604|+6.64%|Hidalgo||
659|Meridian|city|1,493|1,515|+1.47%|Bosque||
501|Merkel|town|2,590|2,617|+1.04%|Taylor||
1184|Mertens|town|125|128|+2.40%|Hill||
862|Mertzon|city|781|743|−4.87%|Irion||
18|Mesquite|city|139,824|140,937|+0.80%|Dallas|Kaufman|
252|Mexia|city|7,459|7,344|−1.54%|Limestone||
928|Miami|city|597|550|−7.87%|Roberts||
28|Midland|city|111,147|146,038|+31.39%|Midland|Martin|
136|Midlothian|city|18,037|33,532|+85.91%|Ellis||
1133|Midway|city|228|236|+3.51%|Madison||
1013|Milano|city|428|421|−1.64%|Milam||
1046|Mildred|town|368|392|+6.52%|Navarro||
840|Miles|city|829|872|+5.19%|Runnels||
882|Milford|town|728|747|+2.61%|Ellis||
1172|Miller's Cove|town|149|160|+7.38%|Titus||
1128|Millican|town|240|243|+1.25%|Brazos||
1025|Millsap|town|403|461|+14.39%|Parker||
358|Mineola|city|4,515|4,766|+5.56%|Wood||
145|Mineral Wells|city|16,788|15,213|−9.38%|Palo Pinto|Parker|
1130|Mingus|city|235|257|+9.36%|Palo Pinto||
43|Mission|city|77,058|84,331|+9.44%|Hidalgo||
47|Missouri City|city|67,358|75,457|+12.02%|Fort Bend|Harris|
1195|Mobeetie|city|101|95|−5.94%|Wheeler||
1159|Mobile City|city|188|210|+11.70%|Rockwall||
266|Monahans|city|6,953|7,816|+12.41%|Ward|Winkler|
393|Mont Belvieu|city|3,835|6,574|+71.42%|Chambers|Liberty|
917|Montgomery|city|621|1,360|+119.00%|Montgomery||
690|Moody|city|1,371|1,420|+3.57%|McLennan||
1151|Moore Station|city|201|220|+9.45%|Henderson||
1110|Moran|city|270|260|−3.70%|Shackelford||
978|Morgan|city|490|519|+5.92%|Bosque||
1063|Morgan's Point|city|339|342|+0.88%|Harris||
374|Morgan's Point Resort|city|4,170|4,685|+12.35%|Bell||
572|Morton|city|2,006|1,813|−9.62%|Cochran||
824|Moulton|town|886|899|+1.47%|Lavaca||
907|Mountain City|city|648|810|+25.00%|Hays||
1081|Mount Calm|city|320|339|+5.94%|Hill||
1002|Mount Enterprise|city|447|436|−2.46%|Rusk||
156|Mount Pleasant|city|15,564|15,978|+2.66%|Titus||
489|Mount Vernon|town|2,662|2,738|+2.85%|Franklin||
646|Muenster|city|1,544|1,645|+6.54%|Cooke||
331|Muleshoe|city|5,158|5,019|−2.69%|Bailey||
1162|Mullin|town|179|176|−1.68%|Mills||
707|Munday|city|1,300|1,275|−1.92%|Knox||
931|Murchison|city|594|599|+0.84%|Henderson||
138|Murphy|city|17,708|20,500|+15.77%|Collin||
1210|Mustang|town|21|21|0.00%|Navarro||
830|Mustang Ridge|city|861|981|+13.94%|Travis|Caldwell|
88|Nacogdoches|city|32,996|32,877|−0.36%|Nacogdoches||
687|Naples|city|1,378|1,313|−4.72%|Morris||
459|Nash|city|2,960|3,827|+29.29%|Bowie||
382|Nassau Bay|city|4,002|3,972|−0.75%|Harris||
673|Natalia|city|1,431|1,590|+11.11%|Medina||
1141|Navarro|town|210|220|+4.76%|Navarro||
263|Navasota|city|7,049|7,998|+13.46%|Grimes||
1086|Nazareth|city|311|291|−6.43%|Castro||
141|Nederland|city|17,547|17,371|−1.00%|Jefferson||
470|Needville|city|2,823|3,103|+9.92%|Fort Bend||
844|Nevada|city|822|1,257|+52.92%|Collin||
789|Newark|city|1,005|1,232|+22.59%|Wise|Tarrant|
958|New Berlin|city|511|624|+22.11%|Guadalupe||
357|New Boston|city|4,550|4,609|+1.30%|Bowie||
53|New Braunfels|city|57,740|90,209|+56.23%|Comal|Guadalupe|
935|Newcastle|city|585|573|−2.05%|Young||
931|New Chapel Hill|city|594|646|+8.75%|Smith||
860|New Deal|town|794|827|+4.16%|Lubbock||
714|New Fairview|city|1,258|1,544|+22.73%|Wise||
1071|New Home|city|334|363|+8.68%|Lynn||
919|New Hope|town|614|628|+2.28%|Collin||
794|New London|city|998|1,014|+1.60%|Rusk||
754|New Summerfield|city|1,111|1,170|+5.31%|Cherokee||
514|Newton|city|2,478|2,370|−4.36%|Newton||
781|New Waverly|city|1,032|1,071|+3.78%|Walker||
1196|Neylandville|town|97|97|0.00%|Hunt||
941|Niederwald|city|565|599|+6.02%|Hays|Caldwell|
529|Nixon|city|2,385|2,542|+6.58%|Gonzales|Wilson|
456|Nocona|city|3,033|3,002|−1.02%|Montague||
372|Nolanville|city|4,259|5,879|+38.04%|Bell||
934|Nome|city|588|595|+1.19%|Jefferson||
865|Noonday|city|777|722|−7.08%|Smith||
1091|Nordheim|city|307|303|−1.30%|DeWitt||
898|Normangee|town|685|706|+3.07%|Leon|Madison|
1124|North Cleveland|city|247|298|+20.65%|Liberty||
613|Northlake|town|1,724|3,348|+94.20%|Denton||
51|North Richland Hills|city|63,343|70,670|+11.57%|Tarrant||
1178|Novice|city|139|128|−7.91%|Coleman||
924|Oak Grove|town|603|669|+10.95%|Kaufman||
708|Oak Leaf|city|1,298|1,484|+14.33%|Ellis||
476|Oak Point|city|2,786|5,762|+106.82%|Denton||
1176|Oak Ridge|town|141|242|+71.63%|Cooke||
974|Oak Ridge|town|495|742|+49.90%|Kaufman||
449|Oak Ridge North|city|3,049|3,161|+3.67%|Montgomery||
1046|Oak Valley|town|368|421|+14.40%|Navarro||
960|Oakwood|town|510|515|+0.98%|Leon|Freestone|
1194|O'Brien|city|106|102|−3.77%|Haskell||
528|Odem|city|2,389|2,360|−1.21%|San Patricio||
30|Odessa|city|99,940|123,334|+23.41%|Ector|Midland|
838|O'Donnell|city|831|837|+0.72%|Lynn|Dawson|
981|Oglesby|city|484|465|−3.93%|Coryell||
716|Old River-Winfree|city|1,245|1,467|+17.83%|Chambers|Liberty|
542|Olmos Park|city|2,237|2,466|+10.24%|Bexar||
426|Olney|city|3,285|3,099|−5.66%|Young||
544|Olton|city|2,215|2,060|−7.00%|Lamb||
783|Omaha|city|1,021|980|−4.02%|Morris||
608|Onalaska|city|1,764|2,967|+68.20%|Polk||
1165|Opdyke West|town|174|194|+11.49%|Hockley||
130|Orange|city|18,595|18,118|−2.57%|Orange||
703|Orange Grove|city|1,318|1,302|−1.21%|Jim Wells||
1055|Orchard|city|352|407|+15.63%|Fort Bend||
744|Ore City|city|1,144|1,228|+7.34%|Upshur||
507|Overton|city|2,554|2,503|−2.00%|Rusk|Smith|
415|Ovilla|city|3,492|4,167|+19.33%|Ellis|Dallas|
754|Oyster Creek|city|1,111|1,193|+7.38%|Brazoria||
732|Paducah|town|1,186|1,094|−7.76%|Cottle||
1107|Paint Rock|town|273|296|+8.42%|Concho||
348|Palacios|city|4,718|4,535|−3.88%|Matagorda||
128|Palestine|city|18,712|17,730|−5.25%|Anderson||
1077|Palisades|village|325|353|+8.62%|Randall||
574|Palmer|town|2,000|2,123|+6.15%|Ellis||
498|Palmhurst|city|2,607|2,732|+4.79%|Hidalgo||
706|Palm Valley|city|1,304|1,240|−4.91%|Cameron||
320|Palmview|city|5,460|5,774|+5.75%|Hidalgo||
137|Pampa|city|17,994|17,068|−5.15%|Gray||
519|Panhandle|town|2,452|2,312|−5.71%|Carson||
548|Panorama Village|city|2,170|2,424|+11.71%|Montgomery||
526|Pantego|town|2,394|2,519|+5.22%|Tarrant||
1008|Paradise|city|441|561|+27.21%|Wise||
109|Paris|city|25,171|24,847|−1.29%|Lamar||
395|Parker|city|3,811|5,177|+35.84%|Collin||
17|Pasadena|city|149,043|151,227|+1.47%|Harris||
994|Pattison|city|472|620|+31.36%|Waller||
644|Patton Village|city|1,557|2,157|+38.54%|Montgomery||
867|Payne Springs|town|767|769|+0.26%|Henderson||
37|Pearland|city|91,252|122,460|+34.20%|Brazoria|Fort Bend,Harris|
225|Pearsall|city|9,146|10,609|+16.00%|Frio||
1146|Pecan Gap|city|203|197|−2.96%|Delta|Fannin|
916|Pecan Hill|city|626|694|+10.86%|Ellis||
231|Pecos|city|8,780|10,461|+19.15%|Reeves||
645|Pelican Bay|city|1,547|2,005|+29.61%|Tarrant||
1156|Penelope|town|198|207|+4.55%|Hill||
365|Peñitas|city|4,403|4,716|+7.11%|Hidalgo||
230|Perryton|city|8,802|8,512|−3.29%|Ochiltree||
726|Petersburg|city|1,202|1,132|−5.82%|Hale||
897|Petrolia|city|686|670|−2.33%|Clay||
1186|Petronila|city|113|120|+6.19%|Nueces||
64|Pflugerville|city|46,936|65,380|+39.30%|Travis|Williamson|
46|Pharr|city|70,400|79,112|+12.38%|Hidalgo||
392|Pilot Point|city|3,856|4,525|+17.35%|Denton||
980|Pine Forest|city|487|519|+6.57%|Orange||
562|Pinehurst|city|2,097|1,976|−5.77%|Orange||
799|Pine Island|town|988|1,159|+17.31%|Waller||
834|Pineland|city|850|800|−5.88%|Sabine||
441|Piney Point Village|city|3,125|3,444|+10.21%|Harris||
360|Pittsburg|city|4,497|4,697|+4.45%|Camp||
663|Plains|town|1,481|1,655|+11.75%|Yoakum||
120|Plainview|city|22,194|20,143|−9.24%|Hale||
9|Plano|city|259,841|287,677|+10.71%|Collin|Denton|
|Plantersville|city||594||Grimes||
777|Pleak|village|1,044|1,675|+60.44%|Fort Bend||
226|Pleasanton|city|8,934|10,855|+21.50%|Atascosa||
1070|Pleasant Valley|town|336|330|−1.79%|Wichita||
926|Plum Grove|city|600|726|+21.00%|Liberty||
847|Point|city|820|926|+12.93%|Rains||
896|Point Blank|city|688|752|+9.30%|San Jacinto||
877|Point Comfort|city|737|677|−8.14%|Calhoun||
857|Point Venture|village|800|1,033|+29.13%|Travis||
680|Ponder|town|1,395|2,369|+69.82%|Denton||
416|Port Aransas|city|3,480|4,266|+22.59%|Nueces||
57|Port Arthur|city|53,818|54,280|+0.86%|Jefferson||
335|Port Isabel|city|5,006|6,256|+24.97%|Cameron||
162|Portland|city|15,099|17,268|+14.37%|San Patricio|Nueces|
188|Port Lavaca|city|12,248|11,854|−3.22%|Calhoun||
180|Port Neches|city|13,040|12,655|−2.95%|Jefferson||
322|Post|city|5,376|5,115|−4.85%|Garza||
930|Post Oak Bend City|town|595|587|−1.34%|Kaufman||
430|Poteet|city|3,260|3,507|+7.58%|Atascosa||
588|Poth|town|1,908|2,284|+19.71%|Wilson||
549|Pottsboro|town|2,160|2,489|+15.23%|Grayson||
1179|Powell|town|136|146|+7.35%|Navarro||
1094|Poynor|town|305|306|+0.33%|Henderson||
311|Prairie View|city|5,576|6,953|+24.70%|Waller||
491|Premont|city|2,653|2,543|−4.15%|Jim Wells||
364|Presidio|city|4,426|3,894|−12.02%|Presidio||
381|Primera|town|4,070|5,130|+26.04%|Cameron||
271|Princeton|city|6,807|13,894|+104.11%|Collin||
317|Progreso|city|5,507|5,944|+7.94%|Hidalgo||
1128|Progreso Lakes|city|240|291|+21.25%|Hidalgo||
221|Prosper|town|9,423|24,579|+160.84%|Collin|Denton|
|Providence Village|town||7377||Denton||
1198|Putnam|town|94|93|−1.06%|Callahan||
1185|Pyote|town|114|132|+15.79%|Ward||
493|Quanah|city|2,641|2,487|−5.83%|Hardeman||
664|Queen City|city|1,476|1,436|−2.71%|Cass||
681|Quinlan|city|1,394|1,524|+9.33%|Hunt||
1207|Quintana|town|56|94|+67.86%|Brazoria||
1021|Quitaque|city|411|389|−5.35%|Briscoe||
603|Quitman|city|1,809|1,849|+2.21%|Wood||
584|Ralls|city|1,944|1,806|−7.10%|Crosby||
522|Rancho Viejo|town|2,437|2,460|+0.94%|Cameron||
517|Ranger|city|2,468|2,469|+0.04%|Eastland||
863|Rankin|city|778|851|+9.38%|Upton||
758|Ransom Canyon|town|1,096|1,124|+2.55%|Lubbock||
1143|Ravenna|city|209|225|+7.66%|Fannin||
197|Raymondville|city|11,284|10,880|−3.58%|Willacy||
787|Red Lick|city|1,008|1,010|+0.20%|Bowie||
208|Red Oak|city|10,769|13,464|+25.03%|Ellis||
772|Redwater|city|1,057|1,101|+4.16%|Bowie||
465|Refugio|town|2,890|2,734|−5.40%|Refugio||
1041|Reklaw|city|379|395|+4.22%|Cherokee|Rusk|
436|Reno|city|3,166|3,346|+5.69%|Lamar||
509|Reno|city|2,494|3,204|+28.47%|Parker|Tarrant|
1042|Retreat|town|377|384|+1.86%|Navarro||
651|Rhome|city|1,522|1,845|+21.22%|Wise||
818|Rice|city|923|974|+5.53%|Navarro||
32|Richardson|city|99,223|121,323|+22.27%|Dallas|Collin|
1115|Richland|town|264|273|+3.41%|Navarro||
247|Richland Hills|city|7,801|7,953|+1.95%|Tarrant||
1065|Richland Springs|town|338|309|−8.58%|San Saba||
193|Richmond|city|11,679|12,578|+7.70%|Fort Bend||
414|Richwood|city|3,510|3,988|+13.62%|Brazoria||
788|Riesel|city|1,007|1,037|+2.98%|McLennan||
345|Rio Bravo|city|4,794|4,634|−3.34%|Webb||
172|Rio Grande City|city|13,834|14,511|+4.89%|Starr||
530|Rio Hondo|city|2,356|2,707|+14.90%|Cameron||
828|Rio Vista|city|873|1,075|+23.14%|Johnson||
837|Rising Star|town|835|821|−1.68%|Eastland||
253|River Oaks|city|7,427|7,630|+2.73%|Tarrant||
960|Riverside|city|510|549|+7.65%|Walker||
298|Roanoke|city|5,962|9,388|+57.46%|Denton||
1131|Roaring Springs|town|234|231|−1.28%|Motley||
775|Robert Lee|city|1,049|1,048|−0.10%|Coke||
213|Robinson|city|10,509|11,926|+13.48%|McLennan||
195|Robstown|city|11,487|11,261|−1.97%|Nueces||
908|Roby|city|643|619|−3.73%|Fisher||
1079|Rochester|town|324|307|−5.25%|Haskell||
310|Rockdale|city|5,595|5,503|−1.64%|Milam||
232|Rockport|city|8,766|10,604|+20.97%|Aransas||
733|Rocksprings|town|1,182|1,135|−3.98%|Edwards||
76|Rockwall|city|37,490|45,888|+22.40%|Rockwall||
1204|Rocky Mound|town|75|75|0.00%|Camp||
723|Rogers|town|1,218|1,252|+2.79%|Bell||
676|Rollingwood|city|1,412|1,585|+12.25%|Travis||
219|Roma|city|9,765|11,490|+17.67%|Starr||
647|Roman Forest|city|1,538|2,006|+30.43%|Montgomery||
1010|Ropesville|city|434|427|−1.61%|Hockley||
702|Roscoe|city|1,322|1,285|−2.80%|Nolan||
676|Rosebud|city|1,412|1,349|−4.46%|Falls||
968|Rose City|city|502|484|−3.59%|Orange||
1008|Rose Hill Acres|city|441|436|−1.13%|Hardin||
93|Rosenberg|city|30,618|38,307|+25.11%|Fort Bend||
1103|Ross|city|283|284|+0.35%|McLennan||
1072|Rosser|village|332|400|+20.48%|Kaufman||
655|Rotan|city|1,508|1,438|−4.64%|Fisher||
1161|Round Mountain|town|181|169|−6.63%|Blanco||
31|Round Rock|city|99,887|133,372|+33.52%|Williamson||
1202|Round Top|town|90|90|0.00%|Fayette||
56|Rowlett|city|56,199|67,339|+19.82%|Dallas|Rockwall|
904|Roxton|city|650|639|−1.69%|Lamar||
224|Royse City|city|9,349|14,702|+57.26%|Rockwall|Collin,Hunt|
913|Rule|town|636|599|−5.82%|Haskell||
710|Runaway Bay|city|1,286|1,576|+22.55%|Wise||
782|Runge|town|1,031|1,138|+10.38%|Karnes||
